state_fips,state,state_abbr,zipcode,county,city,Lat,Long
1,Alabama,AL,35004,St. Clair,Acmar,33.60343,-86.4938
1,Alabama,AL,35005,Jefferson,Adamsville,33.59595,-87.0006
1,Alabama,AL,35006,Jefferson,Adger,33.42277,-87.2097
1,Alabama,AL,35007,Shelby,Keystone,33.21562,-86.7977
1,Alabama,AL,35010,Tallapoosa,New site,32.91672,-85.9406
1,Alabama,AL,35014,Talladega,Alpine,33.35585,-86.2617
1,Alabama,AL,35016,Marshall,Arab,34.32387,-86.502
1,Alabama,AL,35019,Cullman,Baileyton,34.30208,-86.6341
1,Alabama,AL,35020,Jefferson,Bessemer,33.40243,-86.9518
1,Alabama,AL,35022,Jefferson,Zcta 35022,33.32285,-86.9715
1,Alabama,AL,35023,Jefferson,Hueytown,33.46783,-87.0882
1,Alabama,AL,35031,Blount,Blountsville,34.09751,-86.555
1,Alabama,AL,35033,Cullman,Bremen,33.92648,-87.0318
1,Alabama,AL,35034,Bibb,Brent,32.91112,-87.2717
1,Alabama,AL,35035,Bibb,Brierfield,33.04368,-86.9684
1,Alabama,AL,35036,Jefferson,Brookside,33.64392,-86.9196
1,Alabama,AL,35040,Shelby,Calera,33.10297,-86.7289
1,Alabama,AL,35042,Bibb,Centreville,32.95799,-87.1038
1,Alabama,AL,35043,Shelby,Chelsea,33.31484,-86.6599
1,Alabama,AL,35044,Talladega,Coosa pines,33.24398,-86.3808
1,Alabama,AL,35045,Chilton,Clanton,32.79996,-86.6768
1,Alabama,AL,35046,Chilton,Zcta 35046,32.93114,-86.5342
1,Alabama,AL,35049,Blount,Cleveland,33.96181,-86.6121
1,Alabama,AL,35051,Shelby,Columbiana,33.20503,-86.6189
1,Alabama,AL,35052,St. Clair,Cook springs,33.59068,-86.4099
1,Alabama,AL,35053,Cullman,Crane hill,34.05416,-87.0737
1,Alabama,AL,35054,St. Clair,Cropwell,33.50202,-86.3379
1,Alabama,AL,35055,Cullman,Cullman,34.15112,-86.7588
1,Alabama,AL,35057,Cullman,Cullman,34.18046,-86.9343
1,Alabama,AL,35058,Cullman,Zcta 35058,34.22886,-86.7373
1,Alabama,AL,35060,Jefferson,Docena,33.55775,-86.9517
1,Alabama,AL,35061,Jefferson,Dolomite,33.47201,-86.9559
1,Alabama,AL,35062,Jefferson,Dora,33.72492,-87.0103
1,Alabama,AL,35063,Walker,Empire,33.81827,-87.0206
1,Alabama,AL,35064,Jefferson,Fairfield,33.47607,-86.9203
1,Alabama,AL,35068,Jefferson,Coalburg,33.60752,-86.8311
